ID,Comment
1,アクセスが便利で、教室がきれいでした。
2,実践的なプロジェクトが多く、現場のスキルが身についたと感じます。
3,より多くの外部講師を招いて欲しい。
4,同期との交流が多く、とても刺激的な環境でした。
5,スケジュールが柔軟で、仕事との両立が可能でした。
6,実践的なプロジェクトが多く、現場のスキルが身についたと感じます。
7,資料が豊富で役に立ちました。
8,より多くの外部講師を招いて欲しい。
9,友人にもおすすめしたいと思います。
10,講師の質が高く、わかりやすい説明で非常に満足しています。
11,もう少し小さいクラスだと理解が深まると思います。
12,テクノロジーへの理解が深まり、キャリアに生かせそうです。
13,コース後のサポートがもっと充実していればよかった。
14,オンライン授業が多く、直接質問がしにくいことがありました。
15,オンライン授業が多く、直接質問がしにくいことがありました。
16,資料が豊富で役に立ちました。
17,講師の質が高く、わかりやすい説明で非常に満足しています。
18,友人にもおすすめしたいと思います。
19,アクセスが便利で、教室がきれいでした。
20,もう少し小さいクラスだと理解が深まると思います。
21,実践的なプロジェクトが多く、現場のスキルが身についたと感じます。
22,資料が豊富で役に立ちました。
23,授業のペースが速すぎることがあり、ついていくのが大変でした。
24,費用に見合った価値はあったと思いますが、もう少し安いと助かります。
25,実践的なプロジェクトが多く、現場のスキルが身についたと感じます。
26,カリキュラムが予想以上にハードで、少し大変でした。
27,資料が豊富で役に立ちました。
28,コース後のサポートがもっと充実していればよかった。
29,講師の質が高く、わかりやすい説明で非常に満足しています。
30,友人にもおすすめしたいと思います。
31,実践的なプロジェクトが多く、現場のスキルが身についたと感じます。
32,授業のペースが速すぎることがあり、ついていくのが大変でした。
33,費用に見合った価値はあったと思いますが、もう少し安いと助かります。
34,資料が豊富で役に立ちました。
35,講師の質が高く、わかりやすい説明で非常に満足しています。
36,より多くの外部講師を招いて欲しい。
37,費用に見合った価値はあったと思いますが、もう少し安いと助かります。
38,より多くの外部講師を招いて欲しい。
39,環境が快適で、学習に集中できました。
40,スケジュールが柔軟で、仕事との両立が可能でした。
41,カスタマーサポートがとても親切で助かりました。
42,プログラムの内容がとても充実していて学びが多かったです。
43,より多くの外部講師を招いて欲しい。
44,アクセスが便利で、教室がきれいでした。
45,プログラムの内容がとても充実していて学びが多かったです。
46,授業のペースが速すぎることがあり、ついていくのが大変でした。
47,プログラムの内容がとても充実していて学びが多かったです。
48,実践的なプロジェクトが多く、現場のスキルが身についたと感じます。
49,オンライン授業が多く、直接質問がしにくいことがありました。
50,テクノロジーへの理解が深まり、キャリアに生かせそうです。
51,プログラムの内容がとても充実していて学びが多かったです。
52,プログラムの内容がとても充実していて学びが多かったです。
53,より実践的な内容を期待していました。
54,プログラムの内容がとても充実していて学びが多かったです。
55,実践的なプロジェクトが多く、現場のスキルが身についたと感じます。
56,資料が豊富で役に立ちました。
57,資料が豊富で役に立ちました。
58,スケジュールが柔軟で、仕事との両立が可能でした。
59,カリキュラムが予想以上にハードで、少し大変でした。
60,コース後のサポートがもっと充実していればよかった。
61,テクノロジーへの理解が深まり、キャリアに生かせそうです。
62,環境が快適で、学習に集中できました。
63,環境が快適で、学習に集中できました。
64,アクセスが便利で、教室がきれいでした。
65,カリキュラムが予想以上にハードで、少し大変でした。
66,プログラムの内容がとても充実していて学びが多かったです。
67,コース後のサポートがもっと充実していればよかった。
68,カスタマーサポートがとても親切で助かりました。
69,アクセスが便利で、教室がきれいでした。
70,同期との交流が多く、とても刺激的な環境でした。
71,カリキュラムが予想以上にハードで、少し大変でした。
72,授業のペースが速すぎることがあり、ついていくのが大変でした。
73,環境が快適で、学習に集中できました。
74,講師の質が高く、わかりやすい説明で非常に満足しています。
75,同期との交流が多く、とても刺激的な環境でした。
76,個別指導が充実しており、自分のペースで学べました。
77,費用に見合った価値はあったと思いますが、もう少し安いと助かります。
78,友人にもおすすめしたいと思います。
79,テクノロジーへの理解が深まり、キャリアに生かせそうです。
80,環境が快適で、学習に集中できました。
81,友人にもおすすめしたいと思います。
82,プログラムの内容がとても充実していて学びが多かったです。
83,より実践的な内容を期待していました。
84,より多くの外部講師を招いて欲しい。
85,費用に見合った価値はあったと思いますが、もう少し安いと助かります。
86,実践的なプロジェクトが多く、現場のスキルが身についたと感じます。
87,もう少し小さいクラスだと理解が深まると思います。
88,もう少し小さいクラスだと理解が深まると思います。
89,講師の質が高く、わかりやすい説明で非常に満足しています。
90,環境が快適で、学習に集中できました。
91,プログラムの内容がとても充実していて学びが多かったです。
92,カリキュラムが予想以上にハードで、少し大変でした。
93,費用に見合った価値はあったと思いますが、もう少し安いと助かります。
94,コース後のサポートがもっと充実していればよかった。
95,講師の質が高く、わかりやすい説明で非常に満足しています。
96,同期との交流が多く、とても刺激的な環境でした。
97,プログラムの内容がとても充実していて学びが多かったです。
98,費用に見合った価値はあったと思いますが、もう少し安いと助かります。
99,プログラムの内容がとても充実していて学びが多かったです。
100,もう少し小さいクラスだと理解が深まると思います。
